#,Date-Time (PST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,06/09/2022 09:13:23,28.57,,,,,
2,06/09/2022 09:18:23,28.65,,,,,
3,06/09/2022 09:23:23,28.48,,,,,
4,06/09/2022 09:28:23,28.57,,,,,
5,06/09/2022 09:33:23,28.61,,,,,
6,06/09/2022 09:38:23,28.95,,,,,
7,06/09/2022 09:43:23,29.21,,,,,
8,06/09/2022 09:48:23,29.60,,,,,
9,06/09/2022 09:53:23,29.86,,,,,
10,06/09/2022 09:58:23,30.20,,,,,
11,06/09/2022 10:03:23,30.37,,,,,
12,06/09/2022 10:08:23,30.76,,,,,
13,06/09/2022 10:13:23,30.97,,,,,
14,06/09/2022 10:18:23,31.19,,,,,
15,06/09/2022 10:23:23,31.36,,,,,
16,06/09/2022 10:28:23,31.40,,,,,
17,06/09/2022 10:33:23,31.31,,,,,
18,06/09/2022 10:38:23,31.23,,,,,
19,06/09/2022 10:43:23,31.06,,,,,
20,06/09/2022 10:48:23,30.93,,,,,
21,06/09/2022 10:53:23,30.89,,,,,
22,06/09/2022 10:58:23,30.84,,,,,
23,06/09/2022 11:03:23,30.80,,,,,
24,06/09/2022 11:08:23,30.93,,,,,
25,06/09/2022 11:13:23,31.06,,,,,
26,06/09/2022 11:18:23,31.23,,,,,
27,06/09/2022 11:23:23,31.44,,,,,
28,06/09/2022 11:28:23,31.66,,,,,
29,06/09/2022 11:33:23,31.83,,,,,
30,06/09/2022 11:38:23,32.04,,,,,
31,06/09/2022 11:43:23,32.13,,,,,
32,06/09/2022 11:48:23,32.39,,,,,
33,06/09/2022 11:53:23,32.47,,,,,
34,06/09/2022 11:58:23,32.64,,,,,
35,06/09/2022 12:03:23,32.86,,,,,
36,06/09/2022 12:08:23,32.99,,,,,
37,06/09/2022 12:13:23,33.12,,,,,
38,06/09/2022 12:18:23,33.20,,,,,
39,06/09/2022 12:23:23,33.33,,,,,
40,06/09/2022 12:28:23,33.46,,,,,
41,06/09/2022 12:33:23,33.55,,,,,
42,06/09/2022 12:38:23,33.63,,,,,
43,06/09/2022 12:43:23,33.63,,,,,
44,06/09/2022 12:48:23,33.46,,,,,
45,06/09/2022 12:53:23,33.50,,,,,
46,06/09/2022 12:58:23,33.59,,,,,
47,06/09/2022 13:03:23,33.63,,,,,
48,06/09/2022 13:08:23,33.63,,,,,
49,06/09/2022 13:13:23,33.80,,,,,
50,06/09/2022 13:18:23,33.85,,,,,
51,06/09/2022 13:23:23,34.02,,,,,
52,06/09/2022 13:28:23,34.10,,,,,
53,06/09/2022 13:33:23,34.19,,,,,
54,06/09/2022 13:38:23,34.32,,,,,
55,06/09/2022 13:43:23,34.49,,,,,
56,06/09/2022 13:48:23,34.66,,,,,
57,06/09/2022 13:53:23,34.83,,,,,
58,06/09/2022 13:58:23,34.92,,,,,
59,06/09/2022 14:03:23,35.13,,,,,
60,06/09/2022 14:08:23,35.26,,,,,
61,06/09/2022 14:13:23,35.35,,,,,
62,06/09/2022 14:18:23,35.43,,,,,
63,06/09/2022 14:23:23,35.60,,,,,
64,06/09/2022 14:28:23,35.73,,,,,
65,06/09/2022 14:33:23,35.86,,,,,
66,06/09/2022 14:38:23,36.08,,,,,
67,06/09/2022 14:43:23,36.08,,,,,
68,06/09/2022 14:48:23,36.08,,,,,
69,06/09/2022 14:53:23,36.12,,,,,
70,06/09/2022 14:58:23,36.21,,,,,
71,06/09/2022 15:03:23,36.29,,,,,
72,06/09/2022 15:08:23,36.33,,,,,
73,06/09/2022 15:13:23,36.29,,,,,
74,06/09/2022 15:18:23,36.25,,,,,
75,06/09/2022 15:23:23,36.25,,,,,
76,06/09/2022 15:28:23,36.33,,,,,
77,06/09/2022 15:33:23,36.33,,,,,
78,06/09/2022 15:38:23,36.42,,,,,
79,06/09/2022 15:43:23,36.33,,,,,
80,06/09/2022 15:48:23,36.29,,,,,
81,06/09/2022 15:53:23,36.25,,,,,
82,06/09/2022 15:58:23,36.25,,,,,
83,06/09/2022 16:03:23,36.12,,,,,
84,06/09/2022 16:08:23,36.03,,,,,
85,06/09/2022 16:13:23,35.99,,,,,
86,06/09/2022 16:18:23,35.95,,,,,
87,06/09/2022 16:23:23,35.82,,,,,
88,06/09/2022 16:28:23,35.82,,,,,
89,06/09/2022 16:33:23,35.73,,,,,
90,06/09/2022 16:38:23,35.82,,,,,
91,06/09/2022 16:43:23,35.82,,,,,
92,06/09/2022 16:48:23,35.86,,,,,
