#,Date-Time (PST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
132,06/14/2022 19:58:53,29.04,,,,,
133,06/14/2022 20:03:53,29.08,,,,,
134,06/14/2022 20:08:53,28.65,,,,,
135,06/14/2022 20:13:53,28.18,,,,,
136,06/14/2022 20:18:53,27.93,,,,,
137,06/14/2022 20:23:53,27.67,,,,,
138,06/14/2022 20:28:53,27.11,,,,,
139,06/14/2022 20:33:53,26.34,,,,,
140,06/14/2022 20:38:53,25.57,,,,,
141,06/14/2022 20:43:53,24.97,,,,,
142,06/14/2022 20:48:53,24.06,,,,,
143,06/14/2022 20:53:53,23.81,,,,,
144,06/14/2022 20:58:53,23.42,,,,,
145,06/14/2022 21:03:53,23.21,,,,,
146,06/14/2022 21:08:53,22.95,,,,,
147,06/14/2022 21:13:53,22.78,,,,,
148,06/14/2022 21:18:53,22.61,,,,,
149,06/14/2022 21:23:53,22.52,,,,,
150,06/14/2022 21:28:53,22.09,,,,,
151,06/14/2022 21:33:53,21.83,,,,,
152,06/14/2022 21:38:53,21.62,,,,,
153,06/14/2022 21:43:53,21.28,,,,,
154,06/14/2022 21:48:53,20.98,,,,,
155,06/14/2022 21:53:53,20.72,,,,,
156,06/14/2022 21:58:53,20.72,,,,,
157,06/14/2022 22:03:53,20.80,,,,,
158,06/14/2022 22:08:53,20.85,,,,,
159,06/14/2022 22:13:53,20.72,,,,,
160,06/14/2022 22:18:53,20.50,,,,,
161,06/14/2022 22:23:53,20.50,,,,,
162,06/14/2022 22:28:53,20.20,,,,,
163,06/14/2022 22:33:53,19.95,,,,,
164,06/14/2022 22:38:53,19.73,,,,,
165,06/14/2022 22:43:53,19.69,,,,,
166,06/14/2022 22:48:53,19.65,,,,,
167,06/14/2022 22:53:53,19.56,,,,,
168,06/14/2022 22:58:53,19.26,,,,,
169,06/14/2022 23:03:53,19.13,,,,,
170,06/14/2022 23:08:53,19.13,,,,,
171,06/14/2022 23:13:53,19.35,,,,,
172,06/14/2022 23:18:53,19.56,,,,,
173,06/14/2022 23:23:53,19.60,,,,,
174,06/14/2022 23:28:53,19.56,,,,,
175,06/14/2022 23:33:53,19.43,,,,,
176,06/14/2022 23:38:53,19.30,,,,,
177,06/14/2022 23:43:53,19.00,,,,,
178,06/14/2022 23:48:53,18.79,,,,,
179,06/14/2022 23:53:53,18.70,,,,,
180,06/14/2022 23:58:53,18.62,,,,,
181,06/15/2022 00:03:53,18.79,,,,,
182,06/15/2022 00:08:53,18.70,,,,,
183,06/15/2022 00:13:53,18.57,,,,,
184,06/15/2022 00:18:53,18.62,,,,,
185,06/15/2022 00:23:53,18.70,,,,,
186,06/15/2022 00:28:53,18.66,,,,,
187,06/15/2022 00:33:53,18.66,,,,,
188,06/15/2022 00:38:53,18.49,,,,,
189,06/15/2022 00:43:53,17.89,,,,,
190,06/15/2022 00:48:53,17.54,,,,,
191,06/15/2022 00:53:53,17.80,,,,,
192,06/15/2022 00:58:53,18.10,,,,,
193,06/15/2022 01:03:53,18.32,,,,,
194,06/15/2022 01:08:53,18.36,,,,,
195,06/15/2022 01:13:53,18.27,,,,,
196,06/15/2022 01:18:53,18.23,,,,,
197,06/15/2022 01:23:53,17.97,,,,,
198,06/15/2022 01:28:53,17.72,,,,,
199,06/15/2022 01:33:53,17.76,,,,,
200,06/15/2022 01:38:53,18.02,,,,,
201,06/15/2022 01:43:53,18.14,,,,,
202,06/15/2022 01:48:53,18.14,,,,,
203,06/15/2022 01:53:53,18.06,,,,,
204,06/15/2022 01:58:53,17.93,,,,,
205,06/15/2022 02:03:53,17.80,,,,,
206,06/15/2022 02:08:53,17.80,,,,,
207,06/15/2022 02:13:53,17.63,,,,,
208,06/15/2022 02:18:53,17.72,,,,,
209,06/15/2022 02:23:53,17.72,,,,,
210,06/15/2022 02:28:53,17.72,,,,,
211,06/15/2022 02:33:53,17.84,,,,,
212,06/15/2022 02:38:53,17.84,,,,,
213,06/15/2022 02:43:53,17.63,,,,,
214,06/15/2022 02:48:53,17.33,,,,,
215,06/15/2022 02:53:53,17.20,,,,,
216,06/15/2022 02:58:53,17.11,,,,,
217,06/15/2022 03:03:53,17.07,,,,,
218,06/15/2022 03:08:53,17.16,,,,,
219,06/15/2022 03:13:53,16.60,,,,,
220,06/15/2022 03:18:53,16.26,,,,,
221,06/15/2022 03:23:53,15.83,,,,,
222,06/15/2022 03:28:53,15.57,,,,,
223,06/15/2022 03:33:53,15.44,,,,,
224,06/15/2022 03:38:53,15.10,,,,,
225,06/15/2022 03:43:53,15.01,,,,,
226,06/15/2022 03:48:53,15.10,,,,,
227,06/15/2022 03:53:53,15.66,,,,,
228,06/15/2022 03:58:53,16.30,,,,,
229,06/15/2022 04:03:53,16.77,,,,,
230,06/15/2022 04:08:53,16.90,,,,,
231,06/15/2022 04:13:53,16.47,,,,,
232,06/15/2022 04:18:53,16.17,,,,,
233,06/15/2022 04:23:53,15.96,,,,,
234,06/15/2022 04:28:53,15.96,,,,,
235,06/15/2022 04:33:53,15.87,,,,,
236,06/15/2022 04:38:53,16.08,,,,,
237,06/15/2022 04:43:53,16.43,,,,,
238,06/15/2022 04:48:53,17.46,,,,,
239,06/15/2022 04:53:53,17.67,,,,,
240,06/15/2022 04:58:53,17.33,,,,,
241,06/15/2022 05:03:53,17.50,,,,,
242,06/15/2022 05:08:53,17.50,,,,,
243,06/15/2022 05:13:53,17.50,,,,,
244,06/15/2022 05:18:53,17.29,,,,,
245,06/15/2022 05:23:53,16.94,,,,,
246,06/15/2022 05:28:53,16.81,,,,,
247,06/15/2022 05:33:53,16.69,,,,,
248,06/15/2022 05:38:53,16.43,,,,,
249,06/15/2022 05:43:53,16.34,,,,,
250,06/15/2022 05:48:53,16.26,,,,,
251,06/15/2022 05:53:53,15.74,,,,,
252,06/15/2022 05:58:53,15.31,,,,,
253,06/15/2022 06:03:53,15.23,,,,,
254,06/15/2022 06:08:53,15.61,,,,,
255,06/15/2022 06:13:53,16.08,,,,,
256,06/15/2022 06:18:53,16.64,,,,,
257,06/15/2022 06:23:53,17.16,,,,,
258,06/15/2022 06:28:53,17.97,,,,,
259,06/15/2022 06:33:53,18.79,,,,,
260,06/15/2022 06:38:53,19.69,,,,,
261,06/15/2022 06:43:53,20.46,,,,,
262,06/15/2022 06:48:53,20.63,,,,,
263,06/15/2022 06:53:53,20.89,,,,,
264,06/15/2022 06:58:53,21.32,,,,,
265,06/15/2022 07:03:53,21.79,,,,,
266,06/15/2022 07:08:53,22.65,,,,,
267,06/15/2022 07:13:53,23.25,,,,,
268,06/15/2022 07:18:53,24.06,,,,,
269,06/15/2022 07:23:53,24.75,,,,,
270,06/15/2022 07:28:53,25.14,,,,,
271,06/15/2022 07:33:53,25.05,,,,,
272,06/15/2022 07:38:53,25.44,,,,,
273,06/15/2022 07:43:53,25.95,,,,,
274,06/15/2022 07:48:53,26.38,,,,,
275,06/15/2022 07:53:53,27.07,,,,,
276,06/15/2022 07:58:53,27.75,,,,,
277,06/15/2022 08:03:53,28.01,,,,,
278,06/15/2022 08:08:53,28.18,,,,,
279,06/15/2022 08:13:53,28.18,,,,,
280,06/15/2022 08:18:53,28.10,,,,,
281,06/15/2022 08:23:53,28.14,,,,,
282,06/15/2022 08:28:53,28.23,,,,,
283,06/15/2022 08:33:53,28.44,,,,,
284,06/15/2022 08:38:53,28.48,,,,,
285,06/15/2022 08:43:53,28.70,,,,,
286,06/15/2022 08:48:53,28.70,,,,,
287,06/15/2022 08:53:53,28.78,,,,,
288,06/15/2022 08:58:53,28.95,,,,,
289,06/15/2022 09:03:53,29.26,,,,,
290,06/15/2022 09:08:53,29.13,,,,,
291,06/15/2022 09:13:53,29.43,,,,,
292,06/15/2022 09:18:53,29.34,,,,,
293,06/15/2022 09:23:53,29.64,,,,,
294,06/15/2022 09:28:53,29.64,,,,,
295,06/15/2022 09:33:53,29.60,,,,,
296,06/15/2022 09:38:53,29.64,,,,,
297,06/15/2022 09:43:53,29.51,,,,,
298,06/15/2022 09:48:53,29.73,,,,,
299,06/15/2022 09:53:53,29.90,,,,,
300,06/15/2022 09:58:53,29.94,,,,,
301,06/15/2022 10:03:53,30.16,,,,,
302,06/15/2022 10:08:53,30.41,,,,,
303,06/15/2022 10:13:53,30.84,,,,,
304,06/15/2022 10:18:53,31.06,,,,,
305,06/15/2022 10:23:53,31.44,,,,,
306,06/15/2022 10:28:53,32.34,,,,,
307,06/15/2022 10:33:53,32.13,,,,,
308,06/15/2022 10:38:53,32.17,,,,,
309,06/15/2022 10:43:53,32.43,,,,,
310,06/15/2022 10:48:53,32.60,,,,,
311,06/15/2022 10:53:53,32.94,,,,,
312,06/15/2022 10:58:53,32.99,,,,,
313,06/15/2022 11:03:53,33.63,,,,,
314,06/15/2022 11:08:53,34.32,,,,,
315,06/15/2022 11:13:53,34.49,,,,,
316,06/15/2022 11:18:53,34.92,,,,,
317,06/15/2022 11:23:53,36.21,,,,,
318,06/15/2022 11:28:53,36.55,,,,,
319,06/15/2022 11:33:53,37.15,,,,,
320,06/15/2022 11:38:53,37.15,,,,,
321,06/15/2022 11:43:53,37.62,,,,,
322,06/15/2022 11:48:53,38.99,,,,,
323,06/15/2022 11:53:53,39.04,,,,,
324,06/15/2022 11:58:53,39.68,,,,,
325,06/15/2022 12:03:53,40.02,,,,,
326,06/15/2022 12:08:53,40.58,,,,,
327,06/15/2022 12:13:53,38.78,,,,,
328,06/15/2022 12:18:53,37.92,,,,,
329,06/15/2022 12:23:53,37.15,,,,,
330,06/15/2022 12:28:53,37.92,,,,,
331,06/15/2022 12:33:53,37.96,,,,,
332,06/15/2022 12:38:53,38.65,,,,,
333,06/15/2022 12:43:53,40.07,,,,,
334,06/15/2022 12:48:53,38.99,,,,,
335,06/15/2022 12:53:53,38.86,,,,,
336,06/15/2022 12:58:53,38.14,,,,,
337,06/15/2022 13:03:53,38.18,,,,,
338,06/15/2022 13:08:53,38.74,,,,,
339,06/15/2022 13:13:53,39.25,,,,,
340,06/15/2022 13:18:53,38.99,,,,,
341,06/15/2022 13:23:53,40.02,,,,,
342,06/15/2022 13:28:53,39.51,,,,,
343,06/15/2022 13:33:53,39.98,,,,,
344,06/15/2022 13:38:53,39.94,,,,,
345,06/15/2022 13:43:53,40.11,,,,,
346,06/15/2022 13:48:53,39.85,,,,,
347,06/15/2022 13:53:53,39.42,,,,,
348,06/15/2022 13:58:53,39.51,,,,,
349,06/15/2022 14:03:53,39.08,,,,,
350,06/15/2022 14:08:53,39.64,,,,,
351,06/15/2022 14:13:53,39.34,,,,,
352,06/15/2022 14:18:53,39.59,,,,,
353,06/15/2022 14:23:53,40.02,,,,,
354,06/15/2022 14:28:53,39.34,,,,,
355,06/15/2022 14:33:53,39.21,,,,,
356,06/15/2022 14:38:53,38.82,,,,,
357,06/15/2022 14:43:53,38.99,,,,,
358,06/15/2022 14:48:53,39.21,,,,,
359,06/15/2022 14:53:53,38.65,,,,,
360,06/15/2022 14:58:53,38.44,,,,,
361,06/15/2022 15:03:53,38.82,,,,,
362,06/15/2022 15:08:53,38.31,,,,,
363,06/15/2022 15:13:53,37.96,,,,,
364,06/15/2022 15:18:53,38.39,,,,,
365,06/15/2022 15:23:53,37.54,,,,,
366,06/15/2022 15:28:53,37.96,,,,,
367,06/15/2022 15:33:53,38.09,,,,,
368,06/15/2022 15:38:53,38.05,,,,,
369,06/15/2022 15:43:53,37.88,,,,,
370,06/15/2022 15:48:53,37.19,,,,,
371,06/15/2022 15:53:53,37.54,,,,,
372,06/15/2022 15:58:53,37.15,,,,,
373,06/15/2022 16:03:53,37.19,,,,,
374,06/15/2022 16:08:53,37.23,,,,,
375,06/15/2022 16:13:53,36.51,,,,,
376,06/15/2022 16:18:53,36.29,,,,,
377,06/15/2022 16:23:53,36.16,,,,,
378,06/15/2022 16:28:53,35.99,,,,,
379,06/15/2022 16:33:53,36.12,,,,,
380,06/15/2022 16:38:53,35.60,,,,,
381,06/15/2022 16:43:53,35.69,,,,,
382,06/15/2022 16:48:53,35.60,,,,,
383,06/15/2022 16:53:53,35.43,,,,,
384,06/15/2022 16:58:53,35.48,,,,,
385,06/15/2022 17:03:53,35.26,,,,,
386,06/15/2022 17:08:53,35.22,,,,,
387,06/15/2022 17:13:53,34.92,,,,,
388,06/15/2022 17:18:53,35.00,,,,,
389,06/15/2022 17:23:53,34.79,,,,,
390,06/15/2022 17:28:53,34.45,,,,,
391,06/15/2022 17:33:53,34.15,,,,,
392,06/15/2022 17:38:53,33.93,,,,,
393,06/15/2022 17:43:53,33.76,,,,,
394,06/15/2022 17:48:53,33.59,,,,,
395,06/15/2022 17:53:53,33.63,,,,,
396,06/15/2022 17:58:53,33.50,,,,,
397,06/15/2022 18:03:53,33.59,,,,,
398,06/15/2022 18:08:53,33.12,,,,,
399,06/15/2022 18:13:53,32.86,,,,,
400,06/15/2022 18:18:53,32.64,,,,,
401,06/15/2022 18:23:53,32.43,,,,,
402,06/15/2022 18:28:53,32.00,,,,,
403,06/15/2022 18:33:53,32.09,,,,,
404,06/15/2022 18:38:53,31.92,,,,,
405,06/15/2022 18:43:53,31.53,,,,,
406,06/15/2022 18:48:53,31.27,,,,,
407,06/15/2022 18:53:53,30.67,,,,,
408,06/15/2022 18:58:53,30.24,,,,,
