#,Date-Time (PST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,06/21/2022 08:04:36,29.00,,,,,
2,06/21/2022 08:09:36,29.30,,,,,
3,06/21/2022 08:14:36,29.38,,,,,
4,06/21/2022 08:19:36,29.38,,,,,
5,06/21/2022 08:24:36,29.47,,,,,
6,06/21/2022 08:29:36,29.90,,,,,
7,06/21/2022 08:34:36,30.03,,,,,
8,06/21/2022 08:39:36,30.28,,,,,
9,06/21/2022 08:44:36,30.46,,,,,
10,06/21/2022 08:49:36,30.80,,,,,
11,06/21/2022 08:54:36,30.89,,,,,
12,06/21/2022 08:59:36,31.27,,,,,
13,06/21/2022 09:04:36,31.23,,,,,
14,06/21/2022 09:09:36,31.70,,,,,
15,06/21/2022 09:14:36,32.17,,,,,
16,06/21/2022 09:19:36,32.17,,,,,
17,06/21/2022 09:24:36,32.52,,,,,
18,06/21/2022 09:29:36,32.90,,,,,
19,06/21/2022 09:34:36,33.07,,,,,
20,06/21/2022 09:39:36,33.46,,,,,
21,06/21/2022 09:44:36,33.59,,,,,
22,06/21/2022 09:49:36,33.63,,,,,
23,06/21/2022 09:54:36,33.93,,,,,
24,06/21/2022 09:59:36,34.15,,,,,
25,06/21/2022 10:04:36,34.79,,,,,
26,06/21/2022 10:09:36,35.05,,,,,
27,06/21/2022 10:14:36,35.13,,,,,
28,06/21/2022 10:19:36,35.18,,,,,
29,06/21/2022 10:24:36,35.48,,,,,
30,06/21/2022 10:29:36,36.08,,,,,
31,06/21/2022 10:34:36,35.73,,,,,
32,06/21/2022 10:39:36,35.78,,,,,
33,06/21/2022 10:44:36,35.78,,,,,
34,06/21/2022 10:49:36,36.12,,,,,
35,06/21/2022 10:54:36,36.21,,,,,
36,06/21/2022 10:59:36,36.29,,,,,
37,06/21/2022 11:04:36,36.68,,,,,
38,06/21/2022 11:09:36,37.36,,,,,
39,06/21/2022 11:14:36,37.66,,,,,
40,06/21/2022 11:19:36,37.32,,,,,
41,06/21/2022 11:24:36,37.41,,,,,
42,06/21/2022 11:29:36,37.66,,,,,
43,06/21/2022 11:34:36,37.84,,,,,
44,06/21/2022 11:39:36,38.39,,,,,
45,06/21/2022 11:44:36,38.65,,,,,
46,06/21/2022 11:49:36,38.86,,,,,
47,06/21/2022 11:54:36,38.74,,,,,
48,06/21/2022 11:59:36,38.82,,,,,
49,06/21/2022 12:04:36,38.91,,,,,
50,06/21/2022 12:09:36,39.21,,,,,
51,06/21/2022 12:14:36,39.34,,,,,
52,06/21/2022 12:19:36,39.72,,,,,
53,06/21/2022 12:24:36,39.68,,,,,
54,06/21/2022 12:29:36,39.85,,,,,
55,06/21/2022 12:34:36,40.45,,,,,
