#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,Button Down,Button Up,Stopped,End of File
1,04/05/2022 08:05:46,18.40,,,,,
2,04/05/2022 08:10:46,15.70,,,,,
3,04/05/2022 08:15:46,13.21,,,,,
4,04/05/2022 08:20:46,11.88,,,,,
5,04/05/2022 08:25:46,11.45,,,,,
6,04/05/2022 08:30:46,11.41,,,,,
7,04/05/2022 08:35:46,11.62,,,,,
8,04/05/2022 08:40:46,11.92,,,,,
9,04/05/2022 08:45:46,12.31,,,,,
10,04/05/2022 08:50:46,12.70,,,,,
11,04/05/2022 08:55:46,13.04,,,,,
12,04/05/2022 09:00:46,13.43,,,,,
13,04/05/2022 09:05:46,13.73,,,,,
14,04/05/2022 09:10:46,13.94,,,,,
15,04/05/2022 09:15:46,14.33,,,,,
16,04/05/2022 09:20:46,14.63,,,,,
17,04/05/2022 09:25:46,14.93,,,,,
18,04/05/2022 09:30:46,15.23,,,,,
19,04/05/2022 09:35:46,15.66,,,,,
20,04/05/2022 09:40:46,16.04,,,,,
21,04/05/2022 09:45:46,16.51,,,,,
22,04/05/2022 09:50:46,16.60,,,,,
23,04/05/2022 09:55:46,16.90,,,,,
24,04/05/2022 10:00:46,17.29,,,,,
25,04/05/2022 10:05:46,17.50,,,,,
26,04/05/2022 10:10:46,17.72,,,,,
27,04/05/2022 10:15:46,17.97,,,,,
28,04/05/2022 10:20:46,18.32,,,,,
29,04/05/2022 10:25:46,18.62,,,,,
30,04/05/2022 10:30:46,18.79,,,,,
31,04/05/2022 10:35:46,19.00,,,,,
32,04/05/2022 10:40:46,19.17,,,,,
33,04/05/2022 10:45:46,19.39,,,,,
34,04/05/2022 10:50:46,19.56,,,,,
35,04/05/2022 10:55:46,19.77,,,,,
36,04/05/2022 11:00:46,20.20,,,,,
37,04/05/2022 11:05:46,20.46,,,,,
38,04/05/2022 11:10:46,20.55,,,,,
39,04/05/2022 11:15:46,20.37,,,,,
40,04/05/2022 11:20:46,20.68,,,,,
41,04/05/2022 11:25:46,20.72,,,,,
42,04/05/2022 11:30:46,20.98,,,,,
