#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,Button Down,Button Up,Stopped,End of File
1,06/01/2023 11:34:39,24.92,,,,,
2,06/01/2023 11:39:39,25.44,,,,,
3,06/01/2023 11:44:39,25.52,,,,,
4,06/01/2023 11:49:39,25.35,,,,,
5,06/01/2023 11:54:39,25.48,,,,,
6,06/01/2023 11:59:39,25.52,,,,,
7,06/01/2023 12:04:39,25.74,,,,,
8,06/01/2023 12:09:39,25.74,,,,,
9,06/01/2023 12:14:39,26.04,,,,,
10,06/01/2023 12:19:39,25.87,,,,,
11,06/01/2023 12:24:39,25.99,,,,,
12,06/01/2023 12:29:39,26.04,,,,,
13,06/01/2023 12:34:39,25.99,,,,,
14,06/01/2023 12:39:39,25.95,,,,,
15,06/01/2023 12:44:39,25.95,,,,,
16,06/01/2023 12:49:39,26.08,,,,,
17,06/01/2023 12:54:39,26.47,,,,,
18,06/01/2023 12:59:39,26.68,,,,,
19,06/01/2023 13:04:39,26.47,,,,,
20,06/01/2023 13:09:39,26.60,,,,,
21,06/01/2023 13:14:39,26.72,,,,,
22,06/01/2023 13:19:39,27.07,,,,,
23,06/01/2023 13:24:39,27.15,,,,,
24,06/01/2023 13:29:39,27.24,,,,,
25,06/01/2023 13:34:39,27.45,,,,,
26,06/01/2023 13:39:39,27.71,,,,,
27,06/01/2023 13:44:39,27.93,,,,,
28,06/01/2023 13:49:39,28.23,,,,,
29,06/01/2023 13:54:39,28.23,,,,,
30,06/01/2023 13:59:39,28.65,,,,,
31,06/01/2023 14:04:39,28.78,,,,,
32,06/01/2023 14:09:39,28.87,,,,,
33,06/01/2023 14:14:39,29.26,,,,,
34,06/01/2023 14:19:39,29.43,,,,,
35,06/01/2023 14:24:39,29.34,,,,,
36,06/01/2023 14:29:39,29.38,,,,,
37,06/01/2023 14:34:39,29.47,,,,,
38,06/01/2023 14:39:39,29.77,,,,,
39,06/01/2023 14:44:39,29.73,,,,,
40,06/01/2023 14:49:39,29.77,,,,,
41,06/01/2023 14:54:39,29.86,,,,,
42,06/01/2023 14:59:39,29.77,,,,,
43,06/01/2023 15:04:39,29.90,,,,,
44,06/01/2023 15:09:39,29.98,,,,,
45,06/01/2023 15:14:39,30.33,,,,,
46,06/01/2023 15:19:39,30.59,,,,,
47,06/01/2023 15:24:39,30.84,,,,,
48,06/01/2023 15:29:39,30.89,,,,,
49,06/01/2023 15:34:39,30.71,,,,,
50,06/01/2023 15:39:39,30.71,,,,,
51,06/01/2023 15:44:39,30.71,,,,,
52,06/01/2023 15:49:39,30.93,,,,,
53,06/01/2023 15:54:39,31.14,,,,,
54,06/01/2023 15:59:39,31.19,,,,,
55,06/01/2023 16:04:39,31.23,,,,,
56,06/01/2023 16:09:39,31.14,,,,,
57,06/01/2023 16:14:39,31.06,,,,,
58,06/01/2023 16:19:39,30.93,,,,,
59,06/01/2023 16:24:39,30.97,,,,,
60,06/01/2023 16:29:39,31.14,,,,,
61,06/01/2023 16:34:39,31.36,,,,,
62,06/01/2023 16:39:39,31.31,,,,,
63,06/01/2023 16:44:39,31.06,,,,,
64,06/01/2023 16:49:39,31.06,,,,,
65,06/01/2023 16:54:39,30.97,,,,,
66,06/01/2023 16:59:39,31.23,,,,,
67,06/01/2023 17:04:39,31.40,,,,,
68,06/01/2023 17:09:39,31.70,,,,,
69,06/01/2023 17:14:39,31.53,,,,,
70,06/01/2023 17:19:39,31.70,,,,,
71,06/01/2023 17:24:39,31.79,,,,,
72,06/01/2023 17:29:39,31.53,,,,,
73,06/01/2023 17:34:39,31.31,,,,,
74,06/01/2023 17:39:39,31.23,,,,,
75,06/01/2023 17:44:39,31.14,,,,,
76,06/01/2023 17:49:39,30.97,,,,,
77,06/01/2023 17:54:39,30.71,,,,,
78,06/01/2023 17:59:39,30.54,,,,,
79,06/01/2023 18:04:39,30.41,,,,,
80,06/01/2023 18:09:39,30.24,,,,,
81,06/01/2023 18:14:39,30.03,,,,,
82,06/01/2023 18:19:39,29.81,,,,,
83,06/01/2023 18:24:39,29.47,,,,,
84,06/01/2023 18:29:39,29.08,,,,,
85,06/01/2023 18:34:39,28.83,,,,,
86,06/01/2023 18:39:39,28.53,,,,,
87,06/01/2023 18:44:39,28.31,,,,,
88,06/01/2023 18:49:39,28.18,,,,,
89,06/01/2023 18:54:39,28.01,,,,,
90,06/01/2023 18:59:39,27.80,,,,,
91,06/01/2023 19:04:39,27.54,,,,,
92,06/01/2023 19:09:39,27.24,,,,,
93,06/01/2023 19:14:39,27.02,,,,,
94,06/01/2023 19:19:39,26.85,,,,,
95,06/01/2023 19:24:39,26.77,,,,,
96,06/01/2023 19:29:39,26.55,,,,,
97,06/01/2023 19:34:39,26.25,,,,,
98,06/01/2023 19:39:39,25.99,,,,,
99,06/01/2023 19:44:39,25.61,,,,,
100,06/01/2023 19:49:39,25.22,,,,,
101,06/01/2023 19:54:39,24.97,,,,,
102,06/01/2023 19:59:39,24.66,,,,,
103,06/01/2023 20:04:39,24.41,,,,,
104,06/01/2023 20:09:39,24.11,,,,,
105,06/01/2023 20:14:39,23.85,,,,,
106,06/01/2023 20:19:39,23.55,,,,,
107,06/01/2023 20:24:39,23.21,,,,,
108,06/01/2023 20:29:39,22.86,,,,,
109,06/01/2023 20:34:39,22.48,,,,,
110,06/01/2023 20:39:39,22.18,,,,,
111,06/01/2023 20:44:39,21.83,,,,,
112,06/01/2023 20:49:39,21.53,,,,,
113,06/01/2023 20:54:39,21.15,,,,,
114,06/01/2023 20:59:39,20.80,,,,,
115,06/01/2023 21:04:39,20.50,,,,,
116,06/01/2023 21:09:39,20.20,,,,,
117,06/01/2023 21:14:39,19.99,,,,,
118,06/01/2023 21:19:39,19.77,,,,,
119,06/01/2023 21:24:39,19.56,,,,,
120,06/01/2023 21:29:39,19.43,,,,,
121,06/01/2023 21:34:39,19.22,,,,,
122,06/01/2023 21:39:39,19.09,,,,,
123,06/01/2023 21:44:39,18.92,,,,,
124,06/01/2023 21:49:39,18.74,,,,,
125,06/01/2023 21:54:39,18.70,,,,,
126,06/01/2023 21:59:39,18.53,,,,,
127,06/01/2023 22:04:39,18.40,,,,,
128,06/01/2023 22:09:39,18.32,,,,,
129,06/01/2023 22:14:39,18.14,,,,,
130,06/01/2023 22:19:39,18.02,,,,,
131,06/01/2023 22:24:39,17.89,,,,,
132,06/01/2023 22:29:39,17.72,,,,,
133,06/01/2023 22:34:39,17.67,,,,,
134,06/01/2023 22:39:39,17.50,,,,,
135,06/01/2023 22:44:39,17.46,,,,,
136,06/01/2023 22:49:39,17.46,,,,,
137,06/01/2023 22:54:39,17.33,,,,,
138,06/01/2023 22:59:39,17.24,,,,,
139,06/01/2023 23:04:39,17.16,,,,,
140,06/01/2023 23:09:39,17.11,,,,,
141,06/01/2023 23:14:39,17.07,,,,,
142,06/01/2023 23:19:39,16.94,,,,,
143,06/01/2023 23:24:39,16.86,,,,,
144,06/01/2023 23:29:39,16.90,,,,,
145,06/01/2023 23:34:39,16.77,,,,,
146,06/01/2023 23:39:39,16.64,,,,,
147,06/01/2023 23:44:39,16.64,,,,,
148,06/01/2023 23:49:39,16.56,,,,,
149,06/01/2023 23:54:39,16.47,,,,,
150,06/01/2023 23:59:39,16.39,,,,,
151,06/02/2023 00:04:39,16.21,,,,,
152,06/02/2023 00:09:39,16.13,,,,,
153,06/02/2023 00:14:39,15.91,,,,,
154,06/02/2023 00:19:39,15.83,,,,,
155,06/02/2023 00:24:39,15.78,,,,,
156,06/02/2023 00:29:39,15.78,,,,,
157,06/02/2023 00:34:39,15.70,,,,,
158,06/02/2023 00:39:39,15.57,,,,,
159,06/02/2023 00:44:39,15.53,,,,,
160,06/02/2023 00:49:39,15.53,,,,,
161,06/02/2023 00:54:39,15.48,,,,,
162,06/02/2023 00:59:39,15.44,,,,,
163,06/02/2023 01:04:39,15.27,,,,,
164,06/02/2023 01:09:39,15.18,,,,,
165,06/02/2023 01:14:39,15.06,,,,,
166,06/02/2023 01:19:39,15.01,,,,,
167,06/02/2023 01:24:39,14.97,,,,,
168,06/02/2023 01:29:39,14.97,,,,,
169,06/02/2023 01:34:39,14.93,,,,,
170,06/02/2023 01:39:39,14.88,,,,,
171,06/02/2023 01:44:39,14.84,,,,,
172,06/02/2023 01:49:39,14.80,,,,,
173,06/02/2023 01:54:39,14.71,,,,,
174,06/02/2023 01:59:39,14.75,,,,,
175,06/02/2023 02:04:39,14.67,,,,,
176,06/02/2023 02:09:39,14.67,,,,,
177,06/02/2023 02:14:39,14.63,,,,,
178,06/02/2023 02:19:39,14.58,,,,,
179,06/02/2023 02:24:39,14.58,,,,,
180,06/02/2023 02:29:39,14.63,,,,,
181,06/02/2023 02:34:39,14.54,,,,,
182,06/02/2023 02:39:39,14.50,,,,,
183,06/02/2023 02:44:39,14.41,,,,,
184,06/02/2023 02:49:39,14.28,,,,,
185,06/02/2023 02:54:39,14.11,,,,,
186,06/02/2023 02:59:39,13.98,,,,,
187,06/02/2023 03:04:39,13.81,,,,,
188,06/02/2023 03:09:39,13.64,,,,,
189,06/02/2023 03:14:39,13.55,,,,,
190,06/02/2023 03:19:39,13.43,,,,,
191,06/02/2023 03:24:39,13.25,,,,,
192,06/02/2023 03:29:39,13.17,,,,,
193,06/02/2023 03:34:39,13.04,,,,,
194,06/02/2023 03:39:39,13.04,,,,,
195,06/02/2023 03:44:39,12.95,,,,,
196,06/02/2023 03:49:39,12.82,,,,,
197,06/02/2023 03:54:39,12.74,,,,,
198,06/02/2023 03:59:39,12.74,,,,,
199,06/02/2023 04:04:39,12.70,,,,,
200,06/02/2023 04:09:39,12.57,,,,,
201,06/02/2023 04:14:39,12.48,,,,,
202,06/02/2023 04:19:39,12.44,,,,,
203,06/02/2023 04:24:39,12.31,,,,,
204,06/02/2023 04:29:39,12.22,,,,,
205,06/02/2023 04:34:39,12.14,,,,,
206,06/02/2023 04:39:39,12.01,,,,,
207,06/02/2023 04:44:39,11.92,,,,,
208,06/02/2023 04:49:39,11.75,,,,,
209,06/02/2023 04:54:39,11.58,,,,,
210,06/02/2023 04:59:39,11.49,,,,,
211,06/02/2023 05:04:39,11.49,,,,,
212,06/02/2023 05:09:39,11.41,,,,,
213,06/02/2023 05:14:39,11.32,,,,,
214,06/02/2023 05:19:39,11.32,,,,,
215,06/02/2023 05:24:39,11.28,,,,,
216,06/02/2023 05:29:39,11.19,,,,,
217,06/02/2023 05:34:39,11.15,,,,,
218,06/02/2023 05:39:39,11.19,,,,,
219,06/02/2023 05:44:39,11.28,,,,,
220,06/02/2023 05:49:39,11.32,,,,,
221,06/02/2023 05:54:39,11.45,,,,,
222,06/02/2023 05:59:39,11.41,,,,,
223,06/02/2023 06:04:39,11.45,,,,,
224,06/02/2023 06:09:39,11.58,,,,,
225,06/02/2023 06:14:39,11.67,,,,,
226,06/02/2023 06:19:39,11.79,,,,,
227,06/02/2023 06:24:39,11.88,,,,,
228,06/02/2023 06:29:39,12.01,,,,,
229,06/02/2023 06:34:39,12.18,,,,,
230,06/02/2023 06:39:39,12.27,,,,,
231,06/02/2023 06:44:39,12.48,,,,,
232,06/02/2023 06:49:39,12.74,,,,,
233,06/02/2023 06:54:39,13.04,,,,,
234,06/02/2023 06:59:39,13.38,,,,,
235,06/02/2023 07:04:39,13.73,,,,,
236,06/02/2023 07:09:39,14.03,,,,,
237,06/02/2023 07:14:39,14.33,,,,,
238,06/02/2023 07:19:39,14.54,,,,,
239,06/02/2023 07:24:39,14.71,,,,,
240,06/02/2023 07:29:39,14.84,,,,,
241,06/02/2023 07:34:39,15.06,,,,,
242,06/02/2023 07:39:39,15.27,,,,,
243,06/02/2023 07:44:39,15.53,,,,,
