 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  3;  8; 25.0000; 75.0000; 23092;     0;     0;     0; 23092;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.041166;0.061632;0.102798;0.041166;0.061632;0.102798;0.041166;0.061632;0.102798
 All;  3;  9; 25.0000; 85.0000; 23091;     0;     0;     0; 23091;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.142928;0.061632;0.204560;0.142928;0.061632;0.204560;0.142928;0.061632;0.204560
 All;  3; 10; 25.0000; 95.0000; 23092;     0;     0;     0; 23092;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.084322;0.061632;0.145954;0.084322;0.061632;0.145954;0.084322;0.061632;0.145954
 All;  3; 11; 25.0000;105.0000; 23093;     0;     0;     0; 23093;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.076906;0.061632;0.138539;0.076906;0.061632;0.138539;0.076906;0.061632;0.138539
 All;  3; 12; 25.0000;115.0000; 23089;     0;     0;     2; 23091;0.004388;0.000000;0.004388;0.999913;1.000000;0.999913;1.000000;1.000000;1.000000;0.438795;0.438795;0.003695;0.002924;0.079194;0.061632;0.140826;0.079194;0.061632;0.140826;0.079194;0.061627;0.140821
 All;  3; 13; 25.0000;125.0000; 22841;     0;     0;   232; 23073;0.004388;0.000000;0.004388;0.989945;1.000000;0.989945;0.985935;1.000000;0.985935;0.434420;0.434420;0.003695;0.002924;0.090549;0.061632;0.152181;0.090549;0.061632;0.152181;0.089275;0.061013;0.150288
 All;  3; 14; 25.0000;135.0000; 21034;     0;     0;  2076; 23110;0.004388;0.000000;0.004388;0.910169;1.000000;0.910169;0.908276;1.000000;0.908276;0.399412;0.399412;0.003695;0.002924;0.115993;0.061632;0.177625;0.115993;0.061632;0.177625;0.105354;0.056096;0.161449
 All;  3; 15; 25.0000;145.0000; 22868;     0;     0;   225; 23093;0.004388;0.000000;0.004388;0.990257;1.000000;0.990257;0.991470;1.000000;0.991470;0.434557;0.434557;0.003695;0.002924;0.190461;0.061632;0.252093;0.190461;0.061632;0.252093;0.188836;0.061032;0.249868
 All;  3; 16; 25.0000;155.0000; 22457;     0;     0;   635; 23092;0.004388;0.000000;0.004388;0.972501;1.000000;0.972501;0.971292;1.000000;0.971292;0.426766;0.426766;0.003695;0.002924;0.214618;0.061632;0.276250;0.214618;0.061632;0.276250;0.208457;0.059937;0.268394
 All;  3; 17; 25.0000;165.0000; 17114;     0;     0;  5978; 23092;0.004388;0.000000;0.004388;0.741122;1.000000;0.741122;0.844097;1.000000;0.844097;0.325229;0.325229;0.003695;0.002924;0.176937;0.061632;0.238570;0.176937;0.061632;0.238570;0.149352;0.045677;0.195029
 All;  3; 18; 25.0000;175.0000; 18975;     0;     0;  4116; 23091;0.004388;0.000000;0.004388;0.821749;1.000000;0.821749;1.000000;1.000000;1.000000;0.360610;0.360610;0.003695;0.002924;0.146688;0.061632;0.208321;0.146688;0.061632;0.208321;0.146688;0.050646;0.197335
 All;  3; 19; 25.0000;185.0000; 23092;     0;     0;     0; 23092;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.147316;0.061632;0.208949;0.147316;0.061632;0.208949;0.147316;0.061632;0.208949
 All;  3; 20; 25.0000;195.0000; 23093;     0;     0;     0; 23093;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.177795;0.061632;0.239427;0.177795;0.061632;0.239427;0.177795;0.061632;0.239427
 All;  3; 21; 25.0000;205.0000; 23091;     0;     0;     0; 23091;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.213997;0.061632;0.275630;0.213997;0.061632;0.275630;0.213997;0.061632;0.275630
 All;  3; 22; 25.0000;215.0000; 23073;     0;     0;     0; 23073;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.190971;0.061632;0.252603;0.190971;0.061632;0.252603;0.190971;0.061632;0.252603
 All;  3; 23; 25.0000;225.0000; 23110;     0;     0;     0; 23110;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.116300;0.061632;0.177932;0.116300;0.061632;0.177932;0.116300;0.061632;0.177932
 All;  3; 24; 25.0000;235.0000; 23093;     0;     0;     0; 23093;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.090378;0.061632;0.152010;0.090378;0.061632;0.152010;0.090378;0.061632;0.152010
 All;  3; 25; 25.0000;245.0000; 23092;     0;     0;     0; 23092;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.078876;0.061632;0.140508;0.078876;0.061632;0.140508;0.078876;0.061632;0.140508
 All;  3; 26; 25.0000;255.0000; 23092;     0;     0;     0; 23092;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.076817;0.061632;0.138449;0.076817;0.061632;0.138449;0.076817;0.061632;0.138449
 All;  3; 27; 25.0000;265.0000; 23091;     0;     0;     0; 23091;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.084569;0.061632;0.146201;0.084569;0.061632;0.146201;0.084569;0.061632;0.146201
 All;  3; 28; 25.0000;275.0000; 23092;     0;     0;     0; 23092;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.142117;0.061632;0.203749;0.142117;0.061632;0.203749;0.142117;0.061632;0.203749
 All;  3; 29; 25.0000;285.0000; 21187;     0;     0;  1906; 23093;0.004388;0.000000;0.004388;0.917464;1.000000;0.917464;1.000000;1.000000;1.000000;0.402613;0.402613;0.003695;0.002924;0.041783;0.061632;0.103415;0.041783;0.061632;0.103415;0.041783;0.056545;0.098328
 All;  3; 30; 25.0000;295.0000;  4029;     0;     0; 19062; 23091;0.004388;0.000000;0.004388;0.174484;1.000000;0.174484;1.000000;1.000000;1.000000;0.076569;0.076569;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.010754;0.010754
 All;  3; 31; 25.0000;305.0000;   535;     0;     0; 22538; 23073;0.004388;0.000000;0.004388;0.023187;1.000000;0.023187;1.000000;1.000000;1.000000;0.010175;0.010175;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.001429;0.001429
 All;  3; 32; 25.0000;315.0000;     5;     0;     0; 23105; 23110;0.004388;0.000000;0.004388;0.000216;1.000000;0.000216;1.000000;1.000000;1.000000;0.000095;0.000095;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.000013;0.000013
 All;  3; 33; 25.0000;325.0000;    31;     0;     0; 23062; 23093;0.004388;0.000000;0.004388;0.001342;1.000000;0.001342;1.000000;1.000000;1.000000;0.000589;0.000589;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.000083;0.000083
 All;  3; 34; 25.0000;335.0000;   129;     0;     0; 22963; 23092;0.004388;0.000000;0.004388;0.005586;1.000000;0.005586;1.000000;1.000000;1.000000;0.002451;0.002451;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.000344;0.000344
 All;  3; 35; 25.0000;345.0000;   250;     0;     0; 22842; 23092;0.004388;0.000000;0.004388;0.010826;1.000000;0.010826;1.000000;1.000000;1.000000;0.004751;0.004751;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.000667;0.000667
 All;  3; 36; 25.0000;355.0000;   238;     0;     0; 22853; 23091;0.004388;0.000000;0.004388;0.010307;1.000000;0.010307;1.000000;1.000000;1.000000;0.004523;0.004523;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.000635;0.000635
 All;  4;  1; 35.0000;  5.0000;   221;     0;     0; 19317; 19538;0.003966;0.000000;0.003966;0.011311;1.000000;0.011311;1.000000;1.000000;1.000000;0.004486;0.004486;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.000855;0.000855
 All;  4;  2; 35.0000; 15.0000;   107;     0;     0; 19430; 19537;0.003966;0.000000;0.003966;0.005477;1.000000;0.005477;1.000000;1.000000;1.000000;0.002172;0.002172;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.000414;0.000414
 All;  4;  3; 35.0000; 25.0000;   167;     0;     0; 19370; 19537;0.003966;0.000000;0.003966;0.008548;1.000000;0.008548;1.000000;1.000000;1.000000;0.003390;0.003390;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.000646;0.000646
 All;  4;  4; 35.0000; 35.0000;  1344;     0;     0; 18220; 19564;0.003966;0.000000;0.003966;0.068698;1.000000;0.068698;1.000000;1.000000;1.000000;0.027248;0.027248;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.005194;0.005194
 All;  4;  5; 35.0000; 45.0000; 10097;     0;     0;  9422; 19519;0.003966;0.000000;0.003966;0.517291;1.000000;0.517291;1.000000;1.000000;1.000000;0.205174;0.205174;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.039109;0.039109
 All;  4;  6; 35.0000; 55.0000; 19213;     0;     0;   322; 19535;0.003966;0.000000;0.003966;0.983517;1.000000;0.983517;1.000000;1.000000;1.000000;0.390094;0.390094;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.074357;0.074357
 All;  4;  7; 35.0000; 65.0000; 19539;     0;     0;     0; 19539;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603
 All;  4;  8; 35.0000; 75.0000; 19537;     0;     0;     0; 19537;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603
 All;  4;  9; 35.0000; 85.0000; 19549;     0;     0;     0; 19549;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.157649;0.075603;0.233252;0.157649;0.075603;0.233252;0.157649;0.075603;0.233252
 All;  4; 10; 35.0000; 95.0000; 19538;     0;     0;     0; 19538;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.190606;0.075603;0.266209;0.190606;0.075603;0.266209;0.190606;0.075603;0.266209
 All;  4; 11; 35.0000;105.0000; 19537;     0;     0;     0; 19537;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.130597;0.075603;0.206200;0.130597;0.075603;0.206200;0.130597;0.075603;0.206200
 All;  4; 12; 35.0000;115.0000; 19438;     0;     0;    99; 19537;0.003966;0.000000;0.003966;0.994933;1.000000;0.994933;0.994220;1.000000;0.994220;0.394622;0.394622;0.004533;0.004174;0.122335;0.075603;0.197939;0.122335;0.075603;0.197939;0.121628;0.075220;0.196848
 All;  4; 13; 35.0000;125.0000; 15848;     0;     0;  3716; 19564;0.003966;0.000000;0.003966;0.810059;1.000000;0.810059;0.809986;1.000000;0.809986;0.321296;0.321296;0.004533;0.004174;0.123741;0.075603;0.199344;0.123741;0.075603;0.199344;0.100228;0.061243;0.161471
 All;  4; 14; 35.0000;135.0000; 19153;     0;     0;   366; 19519;0.003966;0.000000;0.003966;0.981249;1.000000;0.981249;0.978265;1.000000;0.978265;0.389195;0.389195;0.004533;0.004174;0.134866;0.075603;0.210470;0.134866;0.075603;0.210470;0.131935;0.074186;0.206121
 All;  4; 15; 35.0000;145.0000; 15793;     0;     0;  3742; 19535;0.003966;0.000000;0.003966;0.808446;1.000000;0.808446;0.806337;1.000000;0.806337;0.320656;0.320656;0.004533;0.004174;0.153652;0.075603;0.229255;0.153652;0.075603;0.229255;0.123895;0.061121;0.185017
 All;  4; 16; 35.0000;155.0000; 16983;     0;     0;  2556; 19539;0.003966;0.000000;0.003966;0.869185;1.000000;0.869185;0.874676;1.000000;0.874676;0.344747;0.344747;0.004533;0.004174;0.177369;0.075603;0.252972;0.177369;0.075603;0.252972;0.155140;0.065713;0.220853
 All;  4; 17; 35.0000;165.0000; 13835;     0;     0;  5702; 19537;0.003966;0.000000;0.003966;0.708144;1.000000;0.708144;0.707661;1.000000;0.707661;0.280873;0.280873;0.004533;0.004174;0.208587;0.075603;0.284190;0.208587;0.075603;0.284190;0.147609;0.053538;0.201147
 All;  4; 18; 35.0000;175.0000; 17779;     0;     0;  1770; 19549;0.003966;0.000000;0.003966;0.909458;1.000000;0.909458;0.913352;1.000000;0.913352;0.360720;0.360720;0.004533;0.004174;0.231615;0.075603;0.307218;0.231615;0.075603;0.307218;0.211546;0.068758;0.280304
 All;  4; 19; 35.0000;185.0000; 18822;     0;     0;   716; 19538;0.003966;0.000000;0.003966;0.963353;1.000000;0.963353;0.969004;1.000000;0.969004;0.382097;0.382097;0.004533;0.004174;0.232925;0.075603;0.308528;0.232925;0.075603;0.308528;0.225705;0.072833;0.298537
 All;  4; 20; 35.0000;195.0000; 19537;     0;     0;     0; 19537;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.207801;0.075603;0.283404;0.207801;0.075603;0.283404;0.207801;0.075603;0.283404
 All;  4; 21; 35.0000;205.0000; 19537;     0;     0;     0; 19537;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.177467;0.075603;0.253070;0.177467;0.075603;0.253070;0.177467;0.075603;0.253070
 All;  4; 22; 35.0000;215.0000; 19564;     0;     0;     0; 19564;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.151593;0.075603;0.227196;0.151593;0.075603;0.227196;0.151593;0.075603;0.227196
 All;  4; 23; 35.0000;225.0000; 19519;     0;     0;     0; 19519;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.134737;0.075603;0.210340;0.134737;0.075603;0.210340;0.134737;0.075603;0.210340
 All;  4; 24; 35.0000;235.0000; 19535;     0;     0;     0; 19535;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.125103;0.075603;0.200706;0.125103;0.075603;0.200706;0.125103;0.075603;0.200706
 All;  4; 25; 35.0000;245.0000; 19539;     0;     0;     0; 19539;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.122037;0.075603;0.197640;0.122037;0.075603;0.197640;0.122037;0.075603;0.197640
 All;  4; 26; 35.0000;255.0000; 19537;     0;     0;     0; 19537;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.132284;0.075603;0.207887;0.132284;0.075603;0.207887;0.132284;0.075603;0.207887
 All;  4; 27; 35.0000;265.0000; 19549;     0;     0;     0; 19549;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.190632;0.075603;0.266235;0.190632;0.075603;0.266235;0.190632;0.075603;0.266235
 All;  4; 28; 35.0000;275.0000; 19538;     0;     0;     0; 19538;0.003966;0.000000;0.003966;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.396632;0.396632;0.004533;0.004174;0.157518;0.075603;0.233122;0.157518;0.075603;0.233122;0.157518;0.075603;0.233122
 All;  4; 29; 35.0000;285.0000; 18987;     0;     0;   550; 19537;0.003966;0.000000;0.003966;0.971848;1.000000;0.971848;1.000000;1.000000;1.000000;0.385466;0.385466;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.073475;0.073475
 All;  4; 30; 35.0000;295.0000; 11908;     0;     0;  7629; 19537;0.003966;0.000000;0.003966;0.609510;1.000000;0.609510;1.000000;1.000000;1.000000;0.241751;0.241751;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.046081;0.046081
 All;  4; 31; 35.0000;305.0000;   198;     0;     0; 19366; 19564;0.003966;0.000000;0.003966;0.010121;1.000000;0.010121;1.000000;1.000000;1.000000;0.004014;0.004014;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.000765;0.000765
 All;  4; 32; 35.0000;315.0000;   192;     0;     0; 19327; 19519;0.003966;0.000000;0.003966;0.009837;1.000000;0.009837;1.000000;1.000000;1.000000;0.003902;0.003902;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.000744;0.000744
 All;  4; 33; 35.0000;325.0000;    56;     0;     0; 19479; 19535;0.003966;0.000000;0.003966;0.002867;1.000000;0.002867;1.000000;1.000000;1.000000;0.001137;0.001137;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.000217;0.000217
 All;  4; 34; 35.0000;335.0000;    44;     0;     0; 19495; 19539;0.003966;0.000000;0.003966;0.002252;1.000000;0.002252;1.000000;1.000000;1.000000;0.000893;0.000893;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.000170;0.000170
 All;  4; 35; 35.0000;345.0000;   434;     0;     0; 19103; 19537;0.003966;0.000000;0.003966;0.022214;1.000000;0.022214;1.000000;1.000000;1.000000;0.008811;0.008811;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.001679;0.001679
 All;  4; 36; 35.0000;355.0000;   135;     0;     0; 19414; 19549;0.003966;0.000000;0.003966;0.006906;1.000000;0.006906;1.000000;1.000000;1.000000;0.002739;0.002739;0.004533;0.004174;0.000000;0.075603;0.075603;0.000000;0.075603;0.075603;0.000000;0.000522;0.000522
 All;  5;  1; 45.0000;  5.0000;    33;     0;     0; 15953; 15986;0.003424;0.000000;0.003424;0.002064;1.000000;0.002064;1.000000;1.000000;1.000000;0.000707;0.000707;0.004824;0.004994;0.000000;0.080455;0.080455;0.000000;0.080455;0.080455;0.000000;0.000166;0.000166
 All;  5;  2; 45.0000; 15.0000;    64;     0;     0; 15919; 15983;0.003424;0.000000;0.003424;0.004004;1.000000;0.004004;1.000000;1.000000;1.000000;0.001371;0.001371;0.004824;0.004994;0.000000;0.080455;0.080455;0.000000;0.080455;0.080455;0.000000;0.000322;0.000322
 All;  5;  3; 45.0000; 25.0000;   249;     0;     0; 15740; 15989;0.003424;0.000000;0.003424;0.015573;1.000000;0.015573;1.000000;1.000000;1.000000;0.005332;0.005332;0.004824;0.004994;0.000000;0.080455;0.080455;0.000000;0.080455;0.080455;0.000000;0.001253;0.001253
 All;  5;  4; 45.0000; 35.0000;   549;     0;     0; 15414; 15963;0.003424;0.000000;0.003424;0.034392;1.000000;0.034392;1.000000;1.000000;1.000000;0.011775;0.011775;0.004824;0.004994;0.000000;0.080455;0.080455;0.000000;0.080455;0.080455;0.000000;0.002767;0.002767
 All;  5;  5; 45.0000; 45.0000;  4071;     0;     0; 11933; 16004;0.003424;0.000000;0.003424;0.254374;1.000000;0.254374;1.000000;1.000000;1.000000;0.087093;0.087093;0.004824;0.004994;0.000000;0.080455;0.080455;0.000000;0.080455;0.080455;0.000000;0.020466;0.020466
 All;  5;  6; 45.0000; 55.0000; 15515;     0;     0;   472; 15987;0.003424;0.000000;0.003424;0.970476;1.000000;0.970476;1.000000;1.000000;1.000000;0.332272;0.332272;0.004824;0.004994;0.000000;0.080455;0.080455;0.000000;0.080455;0.080455;0.000000;0.078080;0.078080
 All;  5;  7; 45.0000; 65.0000; 15984;     0;     0;     0; 15984;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.000000;0.080455;0.080455;0.000000;0.080455;0.080455;0.000000;0.080455;0.080455
 All;  5;  8; 45.0000; 75.0000; 15985;     0;     0;     0; 15985;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.000000;0.080455;0.080455;0.000000;0.080455;0.080455;0.000000;0.080455;0.080455
 All;  5;  9; 45.0000; 85.0000; 15973;     0;     0;     0; 15973;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.000000;0.080455;0.080455;0.000000;0.080455;0.080455;0.000000;0.080455;0.080455
 All;  5; 10; 45.0000; 95.0000; 15986;     0;     0;     0; 15986;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.273506;0.080455;0.353961;0.273506;0.080455;0.353961;0.273506;0.080455;0.353961
 All;  5; 11; 45.0000;105.0000; 15983;     0;     0;     0; 15983;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.219977;0.080455;0.300432;0.219977;0.080455;0.300432;0.219977;0.080455;0.300432
 All;  5; 12; 45.0000;115.0000; 15989;     0;     0;     0; 15989;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.163726;0.080455;0.244182;0.163726;0.080455;0.244182;0.163726;0.080455;0.244182
 All;  5; 13; 45.0000;125.0000; 14766;     0;     0;  1197; 15963;0.003424;0.000000;0.003424;0.925014;1.000000;0.925014;0.932469;1.000000;0.932469;0.316706;0.316706;0.004824;0.004994;0.151297;0.080455;0.231752;0.151297;0.080455;0.231752;0.141080;0.074422;0.215502
 All;  5; 14; 45.0000;135.0000; 11753;     0;     0;  4251; 16004;0.003424;0.000000;0.003424;0.734379;1.000000;0.734379;0.730724;1.000000;0.730724;0.251437;0.251437;0.004824;0.004994;0.149453;0.080455;0.229908;0.149453;0.080455;0.229908;0.109209;0.059085;0.168293
 All;  5; 15; 45.0000;145.0000; 11607;     0;     0;  4380; 15987;0.003424;0.000000;0.003424;0.726027;1.000000;0.726027;0.720751;1.000000;0.720751;0.248577;0.248577;0.004824;0.004994;0.152035;0.080455;0.232490;0.152035;0.080455;0.232490;0.109579;0.058413;0.167992
 All;  5; 16; 45.0000;155.0000;  9794;     0;     0;  6190; 15984;0.003424;0.000000;0.003424;0.612738;1.000000;0.612738;0.623385;1.000000;0.623385;0.209789;0.209789;0.004824;0.004994;0.158016;0.080455;0.238472;0.158016;0.080455;0.238472;0.098505;0.049298;0.147803
 All;  5; 17; 45.0000;165.0000; 15198;     0;     0;   787; 15985;0.003424;0.000000;0.003424;0.950766;1.000000;0.950766;0.952927;1.000000;0.952927;0.325523;0.325523;0.004824;0.004994;0.165823;0.080455;0.246278;0.165823;0.080455;0.246278;0.158017;0.076494;0.234511
 All;  5; 18; 45.0000;175.0000; 15973;     0;     0;     0; 15973;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.168520;0.080455;0.248975;0.168520;0.080455;0.248975;0.168520;0.080455;0.248975
 All;  5; 19; 45.0000;185.0000; 15073;     0;     0;   913; 15986;0.003424;0.000000;0.003424;0.942888;1.000000;0.942888;0.946875;1.000000;0.946875;0.322826;0.322826;0.004824;0.004994;0.169581;0.080455;0.250036;0.169581;0.080455;0.250036;0.160572;0.075860;0.236432
 All;  5; 20; 45.0000;195.0000; 15983;     0;     0;     0; 15983;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.164932;0.080455;0.245387;0.164932;0.080455;0.245387;0.164932;0.080455;0.245387
 All;  5; 21; 45.0000;205.0000; 15989;     0;     0;     0; 15989;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.158396;0.080455;0.238851;0.158396;0.080455;0.238851;0.158396;0.080455;0.238851
 All;  5; 22; 45.0000;215.0000; 15963;     0;     0;     0; 15963;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.152537;0.080455;0.232992;0.152537;0.080455;0.232992;0.152537;0.080455;0.232992
 All;  5; 23; 45.0000;225.0000; 16004;     0;     0;     0; 16004;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.148512;0.080455;0.228968;0.148512;0.080455;0.228968;0.148512;0.080455;0.228968
 All;  5; 24; 45.0000;235.0000; 15987;     0;     0;     0; 15987;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.151742;0.080455;0.232197;0.151742;0.080455;0.232197;0.151742;0.080455;0.232197
 All;  5; 25; 45.0000;245.0000; 15984;     0;     0;     0; 15984;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.163862;0.080455;0.244317;0.163862;0.080455;0.244317;0.163862;0.080455;0.244317
 All;  5; 26; 45.0000;255.0000; 15985;     0;     0;     0; 15985;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.218560;0.080455;0.299015;0.218560;0.080455;0.299015;0.218560;0.080455;0.299015
 All;  5; 27; 45.0000;265.0000; 15973;     0;     0;     0; 15973;0.003424;0.000000;0.003424;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.342380;0.342380;0.004824;0.004994;0.275950;0.080455;0.356405;0.275950;0.080455;0.356405;0.275950;0.080455;0.356405
