 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  1; 18;  5.0000;175.0000;  5868;     2;   258; 24081; 30209;0.004782;0.000042;0.004824;0.194313;0.991393;0.194247;1.000000;1.000000;1.000000;0.093728;0.093696;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013851;0.013851;0.000000;0.002714;0.002714
 All;  1; 19;  5.0000;185.0000; 11651;     3;   165; 18384; 30203;0.004797;0.000027;0.004824;0.385856;0.994438;0.385756;1.000000;1.000000;1.000000;0.186120;0.186072;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013893;0.013893;0.000000;0.005389;0.005389
 All;  1; 20;  5.0000;195.0000; 15034;    50;   158; 14951; 30193;0.004790;0.000033;0.004824;0.499586;0.993111;0.497930;1.000000;1.000000;1.000000;0.240978;0.240180;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013875;0.013875;0.000000;0.006957;0.006957
 All;  1; 21;  5.0000;205.0000; 29939;   162;     6;    85; 30192;0.004797;0.000027;0.004824;0.996986;0.994436;0.991620;1.000000;1.000000;1.000000;0.480902;0.478314;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013893;0.013893;0.000000;0.013854;0.013854
 All;  1; 22;  5.0000;215.0000; 29997;   190;     0;     0; 30187;0.004793;0.000030;0.004824;1.000000;0.993706;0.993706;1.000000;1.000000;1.000000;0.482356;0.479320;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013883;0.013883;0.000000;0.013883;0.013883
 All;  1; 23;  5.0000;225.0000; 30060;   133;     0;     0; 30193;0.004802;0.000021;0.004824;1.000000;0.995595;0.995595;1.000000;1.000000;1.000000;0.482356;0.480231;0.000838;0.000422;0.000566;0.013971;0.014537;0.000566;0.013909;0.014475;0.000566;0.013909;0.014475
 All;  1; 24;  5.0000;235.0000; 30030;   164;     0;     0; 30194;0.004797;0.000026;0.004824;1.000000;0.994568;0.994568;1.000000;1.000000;1.000000;0.482356;0.479736;0.000838;0.000422;0.006501;0.013971;0.020472;0.006501;0.013895;0.020396;0.006501;0.013895;0.020396
 All;  1; 25;  5.0000;245.0000; 29970;   223;     0;     0; 30193;0.004788;0.000036;0.004824;1.000000;0.992614;0.992614;1.000000;1.000000;1.000000;0.482356;0.478793;0.000838;0.000422;0.002838;0.013971;0.016809;0.002838;0.013868;0.016706;0.002838;0.013868;0.016706
 All;  1; 26;  5.0000;255.0000; 29953;   246;     0;     0; 30199;0.004784;0.000039;0.004824;1.000000;0.991854;0.991854;1.000000;1.000000;1.000000;0.482356;0.478427;0.000838;0.000422;0.002115;0.013971;0.016086;0.002115;0.013857;0.015972;0.002115;0.013857;0.015972
 All;  1; 27;  5.0000;265.0000; 29953;   256;     0;     0; 30209;0.004783;0.000041;0.004824;1.000000;0.991526;0.991526;1.000000;1.000000;1.000000;0.482356;0.478268;0.000838;0.000422;0.001860;0.013971;0.015831;0.001860;0.013853;0.015712;0.001860;0.013853;0.015712
