NAME,Y,X
BRC0.25,38.51523345,-121.9725806
BRC0.5,38.515305,-121.973172
BRC1.8,38.514342,-121.97384
BRC1,38.51471969,-121.9735973
BRC2.2,38.51385299,-121.9744469
BRC2,38.514114,-121.9744088
BRE0.5,38.51543113,-121.9735413
BRE1.5,38.51500984,-121.9737996
BRE1,38.515249,-121.973772
BRE2.4,38.514387,-121.973996
BRE2,38.514821,-121.974294
BRE3,38.51434459,-121.9750134
BRE4,38.51491236,-121.9750169
BRO1,38.51589573,-121.9751406
BRO2,38.51556505,-121.9754549
BRO3,38.51581192,-121.974832
BRO4,38.51553372,-121.9759945
BRO5,38.51548854,-121.9749513
BRO6,38.51549926,-121.9751462
BRO7,38.51623703,-121.9750095
DDC1,38.49490918,-122.0024885
DDC3.5,38.49446854,-122.0025978
DDC3,38.49518344,-122.0018885
DDC4.5,38.49408966,-122.0036121
DDC4.7,38.49392991,-122.003901
DDC4,38.49402994,-122.0029479
DDC5.5,38.493701,-122.003917
DDC5,38.49372373,-122.00403
DDE0.5,38.49531499,-122.0004074
DDE1.5,38.495014,-122.0010422
DDE1,38.49513702,-122.0006736
DDE2.8,38.49445259,-122.0017839
DDE2,38.4947998,-122.001286
DDE3.2,38.49416815,-122.0022465
DDE3.4,38.49404464,-122.0025578
DDE3.5,38.49382955,-122.0026983
DDE4.3,38.49351297,-122.0036201
DDE4.5,38.49345832,-122.003552
DDE4,38.49377969,-122.0031921
DRC11,38.51702595,-121.7578185
DRC12,38.51699977,-121.7587481
DRC15,38.5173929,-121.7601292
DRC16,38.51753424,-121.7607118
DRC18,38.51766937,-121.7615583
DRC19,38.51778525,-121.7622904
DRC3,38.51749048,-121.7531995
DRC4,38.51748795,-121.7538075
DRC5,38.51746519,-121.7542093
DRC6,38.51755178,-121.754724
DRC8,38.51744064,-121.7561367
DRC9,38.51742835,-121.7566761
DRE1,38.51743712,-121.7575018
DRE10,38.51822541,-121.7621567
DRE11,38.51828408,-121.7625916
DRE2,38.51755888,-121.7579356
DRE3,38.51763022,-121.7587143
DRE4,38.51744551,-121.7591419
DRE5,38.51763898,-121.75954
DRE6,38.51774941,-121.7597561
DRE7,38.51795188,-121.7601541
DRE8,38.51812038,-121.7607476
DRE9,38.51816237,-121.761309
INC0.5,38.50585961,-122.0414458
INC0.75,38.50612403,-122.0418208
INC1.5,38.50649018,-122.0425155
INC1,38.50636122,-122.0421732
INC2.5,38.50709916,-122.0431497
INC2,38.50687117,-122.0428201
INC3.5,38.50790806,-122.0439877
INC3,38.50746363,-122.0436381
INC4.5,38.50816879,-122.0450165
INC4,38.50809991,-122.0443063
INC5.5,38.50853371,-122.0455622
INC5,38.50820942,-122.0455779
INC6.5,38.50905322,-122.0462779
INC6,38.50894463,-122.046222
INC7.5,38.5096908,-122.0471067
INC7,38.50912858,-122.0466783
INC8.5,38.51037278,-122.0478547
INC8,38.51003555,-122.0473889
INC9.5,38.51078302,-122.0484343
INC9,38.51065482,-122.0481836
MBNC0.5,38.51840385,-121.6859669
MBNC1,38.51875202,-121.6864768
MBNC10,38.51950863,-121.6912692
MBNC11,38.51935312,-121.6918685
MBNC12,38.51933173,-121.6923736
MBNC13,38.51928254,-121.6928104
MBNC14,38.51943362,-121.693427
MBNC15,38.51969938,-121.6938237
MBNC16,38.51958003,-121.6944338
MBNC2,38.51900802,-121.6868048
MBNC3,38.51933855,-121.6873494
MBNC4,38.51960382,-121.6877001
MBNC5,38.51968259,-121.6882952
MBNC6,38.51981387,-121.6887516
MBNC7,38.51976675,-121.6893719
MBNC8,38.51969336,-121.6900614
MBNC9,38.51947893,-121.6905379
MBNE1,38.51903866,-121.6863225
MBNE2,38.51949159,-121.6865322
MBNE3,38.51965351,-121.6873092
MCC1,38.52975474,-121.9436012
MCC2,38.52947697,-121.9437774
MCC3,38.52929044,-121.9440784
MCC4,38.52899433,-121.9442204
MCC5,38.52859248,-121.9446278
MCC6,38.528631,-121.944522
MCE1.5,38.53049516,-121.9427644
MCE1,38.53063777,-121.9425902
MCE2,38.5300815,-121.9428622
MCE3,38.52979627,-121.9432105
MCE4,38.52953559,-121.9432832
MCE5,38.52918894,-121.943816
MCO1,38.5295766,-121.9428352
MCO2,38.52983583,-121.9426019
MCO3,38.53032064,-121.9423998
MCO4,38.53033285,-121.9417571
MCO5,38.53001076,-121.9420143
MCO6,38.52970616,-121.9422138
MCO7,38.52970988,-121.9416286
MCO8,38.5299078,-121.9415913
PCC1,38.52510055,-121.7905228
PCC10,38.5271864,-121.7952946
PCC11,38.52731928,-121.7959463
PCC12,38.52735374,-121.7966685
PCC13,38.527305,-121.797083
PCC16,38.52748684,-121.7990983
PCC18,38.5273816,-121.8002587
PCC2,38.52546747,-121.7911476
PCC3,38.5256549,-121.7918442
PCC4,38.52574962,-121.79229
PCC5,38.52611369,-121.7926396
PCC6,38.52630858,-121.793187
PCC7,38.52657283,-121.7934694
PCC8,38.52680494,-121.7941308
PCC9,38.52718915,-121.7946866
PCE1,38.52759471,-121.8008288
PCE10,38.52744994,-121.7955082
PCE2,38.52782344,-121.8002858
PCE3,38.52789771,-121.7996192
PCE4,38.52791091,-121.7991486
PCE5,38.52788877,-121.7987475
PCE6,38.52794654,-121.7982303
PCE7,38.52778047,-121.7978544
PCE8,38.52777339,-121.7971662
PCE9,38.5279106,-121.7964871
PCT1,38.524966,-121.78955
PCT10,38.52359,-121.7837341
PCT2,38.524605,-121.7886498
PCT3,38.524014,-121.7881091
PCT4,38.523928,-121.7876861
PCT5,38.523881,-121.7874804
PCT6,38.52352,-121.7865458
PCT7,38.523564,-121.7856159
PCT8,38.52347,-121.7851816
PCT9,38.523604,-121.7842501
RRC10,38.53805677,-121.8686481
RRC11,38.53824163,-121.8691271
RRC12,38.53831992,-121.8697684
RRC13,38.53827986,-121.8702853
RRC14,38.53857395,-121.8708774
RRC15,38.53868617,-121.8713001
RRC3,38.53798217,-121.8646679
RRC4,38.53777927,-121.8651185
RRC5,38.53758806,-121.8658444
RRC6,38.53752932,-121.8662928
RRC7,38.53755401,-121.8669808
RRC8,38.53763375,-121.8677712
RRC9,38.53794365,-121.8681335
RRE10,38.53840873,-121.8686999
RRE11,38.53858702,-121.8694315
RRE12,38.53858156,-121.8697987
RRE13,38.53865884,-121.8703368
RRE14,38.5388358,-121.8709306
RRE15,38.5388934,-121.8712969
RRE16,38.53896936,-121.8716973
RRE17,38.53921684,-121.8721294
RRE18,38.53895897,-121.8724891
RRE5,38.53793334,-121.8661373
RRE6,38.5378924,-121.8665624
RRE7,38.53802343,-121.8670652
RRE8,38.53809083,-121.8675116
RRE9,38.53839239,-121.8679429
