#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,Stopped,End of File
101,05/03/2022 19:49:45,25.32,26.03,4.47,,,,
102,05/03/2022 19:54:45,24.69,27.10,4.50,,,,
103,05/03/2022 19:59:45,24.10,28.83,4.89,,,,
104,05/03/2022 20:04:45,23.51,30.55,5.21,,,,
105,05/03/2022 20:09:45,22.79,32.62,5.53,,,,
106,05/03/2022 20:14:45,22.21,32.71,5.06,,,,
107,05/03/2022 20:19:45,21.47,38.97,6.94,,,,
108,05/03/2022 20:24:45,20.54,40.88,6.81,,,,
109,05/03/2022 20:29:45,19.85,42.04,6.59,,,,
110,05/03/2022 20:34:45,19.42,42.07,6.22,,,,
111,05/03/2022 20:39:45,19.45,38.96,5.14,,,,
112,05/03/2022 20:44:45,19.61,40.52,5.85,,,,
113,05/03/2022 20:49:45,19.06,43.80,6.47,,,,
114,05/03/2022 20:54:45,18.49,45.04,6.36,,,,
115,05/03/2022 20:59:45,18.24,48.63,7.25,,,,
116,05/03/2022 21:04:45,18.09,49.42,7.35,,,,
117,05/03/2022 21:09:45,17.88,50.43,7.45,,,,
118,05/03/2022 21:14:45,17.64,49.76,7.04,,,,
119,05/03/2022 21:19:45,17.49,51.18,7.31,,,,
120,05/03/2022 21:24:45,17.28,52.04,7.36,,,,
121,05/03/2022 21:29:45,17.17,50.46,6.81,,,,
122,05/03/2022 21:34:45,16.82,45.84,5.10,,,,
123,05/03/2022 21:39:45,16.59,40.46,3.11,,,,
124,05/03/2022 21:44:45,16.18,46.47,4.71,,,,
125,05/03/2022 21:49:45,16.03,48.21,5.10,,,,
126,05/03/2022 21:54:45,15.86,48.86,5.14,,,,
127,05/03/2022 21:59:45,15.67,47.98,4.70,,,,
128,05/03/2022 22:04:45,15.52,49.47,5.00,,,,
129,05/03/2022 22:09:45,15.45,49.57,4.97,,,,
130,05/03/2022 22:14:45,15.23,51.25,5.24,,,,
131,05/03/2022 22:19:45,14.96,54.85,5.97,,,,
132,05/03/2022 22:24:45,14.78,58.89,6.83,,,,
133,05/03/2022 22:29:45,14.68,54.76,5.69,,,,
134,05/03/2022 22:34:45,14.48,54.04,5.31,,,,
135,05/03/2022 22:39:45,14.32,62.79,7.33,,,,
136,05/03/2022 22:44:45,14.14,60.43,6.61,,,,
137,05/03/2022 22:49:45,14.29,57.40,6.01,,,,
138,05/03/2022 22:54:45,14.25,55.05,5.36,,,,
139,05/03/2022 22:59:45,14.05,56.36,5.51,,,,
140,05/03/2022 23:04:45,14.06,52.30,4.45,,,,
141,05/03/2022 23:09:45,14.01,53.09,4.62,,,,
142,05/03/2022 23:14:45,13.78,53.53,4.52,,,,
143,05/03/2022 23:19:45,13.60,48.56,2.97,,,,
144,05/03/2022 23:24:45,13.49,50.27,3.36,,,,
145,05/03/2022 23:29:45,13.34,49.42,2.98,,,,
146,05/03/2022 23:34:45,13.25,49.42,2.90,,,,
147,05/03/2022 23:39:45,13.15,48.96,2.67,,,,
148,05/03/2022 23:44:45,13.04,48.61,2.47,,,,
149,05/03/2022 23:49:45,12.91,49.11,2.50,,,,
150,05/03/2022 23:54:45,12.80,50.09,2.68,,,,
